Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,MP,PTS,TRB,AST
Joe Dumars,6,1,98,14,35,0.4,5,15,0.333,9,20,0.45,1,2,0.5,1,6,7,20,1,0,11,3,34,,16.3,5.7,1.2,3.3
Neil Johnston,6,1,132,27,63,0.429,,,,27,63,0.429,16,23,0.696,,,52,6,,,,13,70,,22,11.7,8.7,1
Jack Twyman,6,2,117,38,68,0.559,,,,38,68,0.559,13,20,0.65,,,21,8,,,,14,89,,19.5,14.8,3.5,1.3
Gail Goodrich,5,3,77,16,38,0.421,,,,16,38,0.421,1,2,0.5,1,4,9,14,1,0,,8,33,,15.4,6.6,1.8,2.8
Don Ohl,5,0,87,16,43,0.372,,,,16,43,0.372,14,15,0.933,,,9,7,,,,10,46,,17.4,9.2,1.8,1.4
Kawhi Leonard,5,5,99,31,59,0.525,16,40,0.4,15,19,0.789,0,0,,6,23,29,19,6,1,6,3,78,,19.9,15.6,5.8,3.8
Gus Johnson,5,0,99,24,56,0.429,,,,24,56,0.429,19,25,0.76,,,35,6,,,,12,67,,19.8,13.4,7,1.2
Sidney Moncrief,5,2,119,19,47,0.404,1,1,1,18,46,0.391,19,22,0.864,12,10,22,12,12,2,8,7,58,,23.8,11.6,4.4,2.4
Jermaine O'Neal,5,2,120,22,46,0.478,0,0,,22,46,0.478,12,18,0.667,10,28,38,5,4,7,7,5,56,,24,11.2,7.6,1
Gene Shue,5,3,130,29,51,0.569,,,,29,51,0.569,8,12,0.667,,,20,19,,,,11,66,,26,13.2,4,3.8
Andy Phillip,5,,,15,31,0.484,,,,15,31,0.484,4,5,0.8,,,25,31,,,,8,34,,,6.8,5,6.2
Brad Daugherty,5,0,76,15,29,0.517,0,0,,15,29,0.517,4,7,0.571,9,15,24,3,2,1,4,7,34,,15.2,6.8,4.8,0.6
Damian Lillard,5,0,92,33,71,0.465,23,56,0.411,10,15,0.667,2,2,1,7,7,14,10,3,0,9,2,91,,18.4,18.2,2.8,2
Klay Thompson,5,1,102,22,58,0.379,17,47,0.362,5,11,0.455,2,2,1,4,16,20,17,2,0,1,3,63,,20.4,12.6,4,3.4
Chauncey Billups,5,0,95,20,44,0.455,8,25,0.32,12,19,0.632,3,4,0.75,2,9,11,25,2,0,8,5,51,,19,10.2,2.2,5
Paul Westphal,5,4,128,43,68,0.632,0,2,0,43,66,0.652,11,16,0.688,3,4,7,24,6,5,11,14,97,,25.6,19.4,1.4,4.8
Sam Jones,5,2,102,18,56,0.321,,,,18,56,0.321,5,6,0.833,,,14,15,,,,6,41,,20.4,8.2,2.8,3
Marques Johnson,5,2,106,11,35,0.314,0,0,,11,35,0.314,12,16,0.75,9,10,19,9,1,2,1,9,34,,21.2,6.8,3.8,1.8
Giannis Antetokounmpo,5,5,126,65,91,0.714,6,16,0.375,59,75,0.787,8,12,0.667,18,24,42,15,6,5,9,9,144,,25.3,28.8,8.4,3
Reggie Miller,5,1,96,16,35,0.457,5,19,0.263,11,16,0.688,3,4,0.75,0,5,5,10,5,1,3,6,40,,19.2,8,1,2
Rudy Tomjanovich,5,1,89,12,32,0.375,,,,12,32,0.375,0,0,,10,17,27,2,1,1,0,9,24,,17.8,4.8,5.4,0.4
Tim Hardaway,5,0,84,17,44,0.386,8,21,0.381,9,23,0.391,11,14,0.786,3,10,13,23,5,0,13,5,53,,16.8,10.6,2.6,4.6
Tom Heinsohn,5,4,97,22,67,0.328,,,,22,67,0.328,7,8,0.875,,,20,3,,,,20,51,,19.4,10.2,4,0.6
Blake Griffin,5,3,125,45,60,0.75,3,8,0.375,42,52,0.808,4,8,0.5,14,14,28,15,6,1,3,10,97,,25,19.4,5.6,3
Larry Costello,5,0,71,11,32,0.344,,,,11,32,0.344,2,2,1,,,9,11,,,,8,24,,14.2,4.8,1.8,2.2
Wes Unseld,5,0,77,14,28,0.5,,,,14,28,0.5,3,5,0.6,2,4,36,6,2,0,,10,31,,15.4,6.2,7.2,1.2
Mitch Richmond,5,1,110,25,57,0.439,6,12,0.5,19,45,0.422,1,2,0.5,4,8,12,13,1,0,5,1,57,,22,11.4,2.4,2.6
Dennis Johnson,5,0,98,20,37,0.541,0,0,,20,37,0.541,19,22,0.864,7,11,18,9,5,4,9,10,59,,19.6,11.8,3.6,1.8
Bobby Wanzer,5,5,131,17,43,0.395,,,,17,43,0.395,12,14,0.857,,,17,17,,,,17,46,,26.2,9.2,3.4,3.4
Nate Thurmond,5,2,104,14,43,0.326,,,,14,43,0.326,3,8,0.375,1,2,44,2,0,0,,5,31,,20.8,6.2,8.8,0.4
Bob McAdoo,5,3,126,37,64,0.578,,,,37,64,0.578,14,19,0.737,13,17,30,6,4,2,3,18,88,,25.2,17.6,6,1.2
Al Horford,5,0,60,14,21,0.667,1,5,0.2,13,16,0.813,2,3,0.667,4,18,22,8,2,2,1,4,31,,12.1,6.2,4.4,1.6
Maurice Lucas,4,2,90,16,40,0.4,0,0,,16,40,0.4,2,3,0.667,10,21,31,8,2,1,4,10,34,,22.5,8.5,7.8,2
Alvin Robertson,4,2,60,7,18,0.389,0,0,,7,18,0.389,4,4,1,3,10,13,7,2,0,10,3,18,,15,4.5,3.3,1.8
Shawn Marion,4,0,78,23,40,0.575,0,2,0,23,38,0.605,4,8,0.5,17,9,26,12,6,2,3,2,50,,19.5,12.5,6.5,3
Tom Gola,4,0,70,12,29,0.414,,,,12,29,0.414,5,9,0.556,,,11,7,,,,10,29,,17.5,7.3,2.8,1.8
Vin Baker,4,0,70,13,31,0.419,0,0,,13,31,0.419,9,12,0.75,16,8,24,3,2,1,1,8,35,,17.5,8.8,6,0.8
Tom Chambers,4,1,84,29,56,0.518,2,5,0.4,27,51,0.529,17,22,0.773,9,7,16,5,6,0,12,11,77,,21,19.3,4,1.3
Paul Millsap,4,0,63,8,21,0.381,3,10,0.3,5,11,0.455,0,0,,2,15,17,8,3,0,2,0,19,,15.7,4.8,4.3,2
Bob Davies,4,,,19,40,0.475,,,,19,40,0.475,10,14,0.714,,,13,17,,,,13,48,,,12,3.3,4.3
Otis Birdsong,4,0,52,6,16,0.375,0,0,,6,16,0.375,2,4,0.5,4,2,6,2,3,0,3,3,14,,13,3.5,1.5,0.5
George Mikan,4,,,28,80,0.35,,,,28,80,0.35,22,27,0.815,,,51,7,,,,14,78,,,19.5,12.8,1.8
Spencer Haywood,4,3,97,20,46,0.435,,,,20,46,0.435,8,9,0.889,3,11,31,6,0,3,,13,48,,24.3,12,7.8,1.5
Sidney Wicks,4,1,81,18,40,0.45,,,,18,40,0.45,13,18,0.722,5,5,17,3,2,1,,10,49,,20.3,12.3,4.3,0.8
Mel Hutchins,4,3,114,11,39,0.282,,,,11,39,0.282,4,8,0.5,,,21,7,,,,7,26,,28.5,6.5,5.3,1.8
Willie Naulls,4,1,77,17,50,0.34,,,,17,50,0.34,6,8,0.75,,,26,2,,,,8,40,,19.3,10,6.5,0.5
Ben Wallace,4,2,85,6,15,0.4,0,1,0,6,14,0.429,0,4,0,10,18,28,2,8,5,4,6,12,,21.1,3,7,0.5
Latrell Sprewell,4,1,77,17,35,0.486,1,8,0.125,16,27,0.593,9,17,0.529,8,7,15,10,5,0,5,4,44,,19.3,11,3.8,2.5
John Wall,4,1,85,30,49,0.612,3,9,0.333,27,40,0.675,2,2,1,1,16,17,18,9,0,12,3,65,,21.2,16.3,4.3,4.5
Walt Bellamy,4,3,83,19,38,0.5,,,,19,38,0.5,10,19,0.526,,,30,4,,,,15,48,,20.8,12,7.5,1
