,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game
Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,MP,PTS,TRB,AST
Trae Young,1,1,16,4,10,.400,2,6,.333,2,4,.500,0,0,,0,3,3,10,0,0,4,1,10,,15.8,10.0,3.0,10.0
Gerald Wallace,1,0,16,1,3,.333,0,0,,1,3,.333,0,0,,0,3,3,1,0,0,0,0,2,,15.5,2.0,3.0,1.0
Walt Hazzard,1,0,20,4,12,.333,,,,4,12,.333,1,1,1.000,,,3,3,,,,3,9,,20.0,9.0,3.0,3.0
Antonio McDyess,1,0,15,4,9,.444,0,0,,4,9,.444,0,0,,3,5,8,2,1,0,0,2,8,,15.0,8.0,8.0,2.0
Nat Clifton,1,0,23,4,11,.364,,,,4,11,.364,0,0,,,,11,3,,,,1,8,,23.0,8.0,11.0,3.0
Curtis Rowe,1,0,8,0,2,.000,,,,0,2,.000,1,2,.500,0,2,2,0,0,0,,2,1,,8.0,1.0,2.0,0.0
Rickey Green,1,0,19,3,8,.375,0,0,,3,8,.375,0,0,,0,0,0,11,1,0,4,1,6,,19.0,6.0,0.0,11.0
Devin Booker,1,0,19,3,8,.375,0,4,.000,3,4,.750,0,0,,2,2,4,0,0,1,4,1,6,,19.0,6.0,4.0,0.0
Kenny Anderson,1,1,16,3,10,.300,0,1,.000,3,9,.333,0,0,,1,3,4,3,0,0,4,2,6,,16.0,6.0,4.0,3.0
Andrew Bynum,1,1,6,0,3,.000,0,1,.000,0,2,.000,0,0,,1,2,3,1,1,1,0,0,0,,5.5,0.0,3.0,1.0
Julius Randle,1,0,13,2,2,1.000,0,0,,2,2,1.000,0,0,,0,2,2,2,0,0,2,0,4,,13.0,4.0,2.0,2.0
Dan Issel,1,1,10,0,3,.000,,,,0,3,.000,0,0,,1,0,1,0,0,0,,0,0,,10.0,0.0,1.0,0.0
Horace Grant,1,0,17,2,8,.250,0,0,,2,8,.250,0,0,,6,2,8,2,1,2,1,0,4,,17.0,4.0,8.0,2.0
